Aarts ananas light;32;0;8;0;100 g
Abats de poulets à bouillir mijotés;194;25.73;0.11;9.3;100 g
Abiyuch (1 fruit);83;1.81;21.2;0.12;1 unité
Abiyuch cru (1/5 tasse);33;0.73;8.48;0.05;1 portion
Abondance de savoie;402;25.1;0;33;100 g
Abricot (1 tasse en tranches);33;0.98;7.75;0.27;100 ml
Abricot (au sirop);63;0;16;0;100 g
Abricot (compote sucrée);165;0;40;0;100 g
Abricot au sirop en conserve;90;0.7;22.4;0.1;1 portion
Abricot des antilles, cru (1/8 fruit);54;0.53;13.22;0.53;1 portion
Abricot frais;14;0.3;3;0;1 unité
Abricot moelleux dia;226;2.5;46.3;0.28;100 g
Abricot sec (monoprix gourmet);294;5;67.9;0.2;100 g
Abricot seché, sulfuré et cuit sans sucre;85;1.2;22.15;0.18;100 g
Abricots moelleux (couleurs vives);200;2;45;0;100 g
Abricots moelleux 'casino';249;2;57;0.5;100 g
Abricots secs lidl;158;4;36.5;0.6;100 g
Abricots secs 'kyrielle';285;5;63.5;0.5;100 g
Accras de morue claude léger (intermarché) : par pièce de 15g;37;2.4;1.5;2.25;1 unité
Ace p'tit déj vitamines (auchan);48;0.6;10.9;0.2;100 ml
Achi corn;108;15;4.5;2;100 g
Acivia brassé nature;67;3.9;5.1;3.4;100 g
Acras de morue (cora - par 12);298;16.2;13.5;19.9;100 g
Acras de morus servifrais;206;10.9;9.3;10.5;100 g
Actifrais bel;134;3.3;6.6;9.9;1 pot
Actimel (0% nature);28;2.8;3.1;0.1;100 g
Actimel 0% ananas;32;2;4;0;100 g
Actimel 0% fruits rouges;28;2.8;3.3;0;100 g
Actimel au gout de fraise;85;2.7;12.8;1.6;100 g
Actimel danone  0% nature;33;2.8;4.9;0;1 portion
Actimel danone gout orange;87;2.7;15.7;1.5;1 portion
Actimel danone-saveur multifruit;75;2.9;12.5;1.5;100 g
Actimel fraise;85;2;13;1;100 ml
Actimel nature;80;3;15.1;1.7;100 ml
Actimel orange;80;2;13;1;100 g
Actimel vanille;88;2;15;1;100 g
Active drink protéine vanille (250ml);278;26;38;2.5;1 canette
Active power bcaa powder;386;92;0;0;100 g
Active power power protein 80 saveur coco;377;80.7;3.8;3.3;100 g
Active power whey protein isolat 100;377;94;2;1;100 g
Activia  mures et frambroise;98;3.6;13.1;3.4;100 g
Activia 0% fraises 0% sucres ajoutés;51;4.9;7.7;0.1;100 g
Activia à la mangue de danone;138;4.4;21.1;4;1 pot
Activia à verser;50;4.2;4.4;1.7;100 ml
Activia au citron de danone;119;4.5;16.5;3.9;1 pot
Activia au fromage blanc à la fraise : par pot de 125g;137;6.37;19.75;3.62;100 g
Activia au fromage blanc à la pêche : par pot de 125 g;140;6.37;20.5;3.62;100 g
Activia au fromage blanc-peche de danone;141;6.4;20.8;3.6;1 pot
Activia aux 2 cereales de danone;136;4.6;19.3;4.4;1 pot
Activia aux cranberries;93;3.5;12.6;3.2;100 g
Activia aux fruits de danone;130;4.4;19.3;4;1 pot
Activia aux peches blanches de danone;123;4.6;17.1;3.9;1 pot
Activia céréales et blé complet de danone;132;4.7;15.7;4.1;1 pot
Activia coco de danone;119;4.5;16.5;3.9;1 pot
Activia de danone au bifidus actif nature;68;3.7;5;3.4;100 g
Activia framboise 0 %;52;4.9;7.8;0.1;100 g
Activia fruits ananas;118;4.4;16.1;4;1 pot
Activia fruits secs;118;4.6;16;4;1 pot
Activia nature 0 %;45;4.5;6.5;0.1;100 g
Activia nature de danone;83;4.2;6.3;4.6;1 pot
Activia nature leader price;78;4.3;5.5;4.3;1 pot
Activia rhubarbe;94;3.5;12.8;3.2;100 g
Activia sur lit de fruits de danone;119;4.4;17.4;3.4;1 pot
Affligem;353;26;0;28;100 g
After eight à l'orange;29;0.2;5.1;0.9;1 unité
After eight orange;419;2.2;73.1;12.9;100 g
After height a la menthe de nestlé;30;0.1;5.2;0.9;1 unité
Agar-agar (en poudre);15;2.7;0.5;0.5;100 g
Agneau (collier-navarin);250;25;0;16.4;100 g
Agneau aux legumes gillés et semoule fleury michon;452;15.9;38.3;26.1;1 part
Agneau coeur;101;14;0;5;100 g
Agneau epaule;252;18;0;20;100 g
Agneau gigot;216;18;0;16;100 g
Agneau rognons;87;15;0;3;1 portion
Agneau, filet;114;19;1.5;3.5;100 g
Aigre douce uncle bens;88.4;0.4;21.7;0;100 g
